knot,crossing_number,determinant,signature,volume,jones_vector
8_11,8,27,-2,8.2863168178,"[-1,7,1,-2,4,-4,5,-5,3,-2,1]"
8_9,8,25,0,7.5881802236,"[-4,4,1,-2,3,-4,5,-4,3,-2,1]"
9_12,9,35,-2,8.8366423438,"[-1,8,1,-2,4,-5,6,-6,5,-3,2,-1]"
10_129,10,25,0,8.9015166372,"[-3,5,-1,2,-3,5,-4,4,-3,2,-1]"
10_137,10,25,0,9.2505562626,"[-2,6,1,-2,4,-4,4,-4,3,-2,1]"
10_143,10,27,2,9.0708992700,"[-8,0,-1,2,-3,4,-5,5,-3,3,-1]"
10_147,10,27,-2,9.4175909160,"[-3,5,1,-2,3,-4,5,-4,4,-3,1]"
10_156,10,35,2,11.1633906421,"[-6,2,-1,3,-5,6,-6,6,-4,3,-1]"
10_159,10,39,-2,11.7406410379,"[0,8,-1,4,-5,7,-7,6,-5,3,-1]"
10_9,10,39,-2,8.2940996752,"[-3,7,1,-2,3,-4,6,-6,6,-5,3,-2,1]"
11n_1,11,27,2,9.7004774764,"[-10,-1,-1,2,-3,4,-4,4,-4,3,-1,1]"
11n_101,11,39,2,11.1670241432,"[-6,3,-1,2,-4,6,-6,7,-5,4,-3,1]"
11n_39,11,25,0,12.7511257455,"[-4,6,-1,1,0,-1,4,-4,5,-5,4,-3,1]"
11n_45,11,25,0,12.7511257455,"[-4,6,-1,1,0,-1,4,-4,5,-5,4,-3,1]"
11n_50,11,25,0,10.2067650005,"[-7,1,-1,2,-3,4,-4,4,-3,3,-1]"
11n_56,11,35,-2,10.3372138329,"[-4,5,-1,2,-3,5,-5,6,-5,4,-3,1]"
11n_63,11,39,-2,9.8999617546,"[1,10,2,-3,5,-6,6,-6,5,-3,2,-1]"
11n_84,11,35,2,11.4315969453,"[-9,-1,1,-3,4,-5,6,-6,5,-3,2]"
12n_198,12,27,-2,10.2590474482,"[-5,4,1,-2,3,-4,4,-4,4,-2,2,-1]"
12n_279,12,25,0,13.2299025807,"[-3,7,1,-1,0,2,-3,4,-5,5,-4,3,-1]"
12n_306,12,35,-2,10.6421167209,"[1,11,1,-1,3,-4,5,-5,5,-5,3,-2,1]"
12n_535,12,27,2,13.0819002811,"[-7,3,-1,1,0,-2,4,-4,6,-5,4,-3,1]"
12n_7,12,39,2,12.6657223121,"[-4,5,-1,3,-4,6,-6,6,-6,4,-2,1]"
13n_1123,13,39,2,17.1570219029,"[-10,2,-1,3,-6,9,-10,9,-7,4,0,-2,4,-3,1]"
13n_1124,13,39,2,17.1570219029,"[-10,2,-1,3,-6,9,-10,9,-7,4,0,-2,4,-3,1]"
13n_1131,13,35,-2,10.9039267289,"[-5,5,1,-2,3,-4,5,-5,5,-4,3,-2,1]"
13n_1394,13,39,2,12.4568147396,"[-11,-1,1,-3,4,-5,6,-6,5,-4,3,-1,1]"
13n_1743,13,35,2,15.5635142772,"[-9,3,1,-3,5,-7,8,-8,6,-3,1,2,-2,2,-1]"
13n_1774,13,35,2,15.5635142772,"[-9,3,1,-3,5,-7,8,-8,6,-3,1,2,-2,2,-1]"
13n_1873,13,39,-2,16.2406925888,"[-5,6,1,-3,6,-8,8,-7,6,-3,1,1,-2,1]"
13n_201,13,39,2,10.6576941448,"[-7,3,1,-2,3,-5,6,-6,6,-4,3,-2,1]"
13n_2206,13,27,-2,15.1317440644,"[-5,6,1,-3,5,-6,6,-5,4,-1,0,1,-2,1]"
13n_2278,13,35,2,12.7045299642,"[-4,5,-1,2,-3,5,-5,6,-5,4,-3,1]"
13n_234,13,27,-2,13.0138919044,"[0,10,1,0,0,2,-4,4,-5,5,-4,3,-1]"
13n_2439,13,39,-2,16.0096011364,"[-3,8,-1,2,-2,1,3,-5,8,-9,8,-7,4,-1]"
13n_2539,13,39,-2,14.4961702455,"[-2,8,1,-1,0,3,-5,7,-8,7,-6,4,-1]"
13n_282,13,25,0,8.3835635142,"[-2,9,1,-1,2,-2,2,-3,3,-3,3,-2,2,-1]"
13n_292,13,27,-2,13.0138919044,"[0,10,1,0,0,2,-4,4,-5,5,-4,3,-1]"
13n_2985,13,25,0,15.3173491005,"[-4,7,-1,2,-2,1,2,-3,5,-6,6,-5,3,-1]"
13n_3024,13,25,0,14.8508642740,"[-6,5,1,-3,5,-6,6,-5,4,-1,-1,2,-2,1]"
13n_3605,13,25,0,14.5350438231,"[-4,7,-1,2,-2,1,2,-3,5,-6,6,-5,3,-1]"
13n_3706,13,25,0,14.4196130018,"[-5,6,1,-2,2,-1,-1,4,-5,6,-6,5,-3,1]"
13n_3762,13,39,-2,15.8461963365,"[-2,10,1,-2,3,-1,-1,4,-7,8,-9,8,-5,3,-1]"
13n_3767,13,39,-2,15.8461963365,"[-2,10,1,-2,3,-1,-1,4,-7,8,-9,8,-5,3,-1]"
13n_3901,13,25,0,18.4324970174,"[-7,5,-1,4,-7,9,-9,7,-4,1,3,-5,5,-3,1]"
13n_3904,13,25,0,18.4324970174,"[-7,5,-1,4,-7,9,-9,7,-4,1,3,-5,5,-3,1]"
13n_3924,13,25,0,18.4324970174,"[-7,5,-1,4,-7,9,-9,7,-4,1,3,-5,5,-3,1]"
13n_3925,13,25,0,18.4324970174,"[-7,5,-1,4,-7,9,-9,7,-4,1,3,-5,5,-3,1]"
13n_4044,13,25,0,16.3626153911,"[-4,7,-1,3,-3,2,1,-3,5,-7,7,-6,4,-1]"
13n_4414,13,35,-2,15.5315147135,"[-4,7,-1,3,-5,7,-7,7,-5,3,-1,-1,2,-1]"
13n_4479,13,39,2,14.9952709720,"[-5,5,-1,0,2,-3,6,-6,7,-7,5,-3,1]"
13n_585,13,39,-2,11.6241421959,"[-2,7,-1,2,-3,6,-6,7,-6,4,-3,1]"
13n_871,13,25,0,17.4676211722,"[-7,5,-1,3,-6,8,-8,7,-4,2,2,-4,4,-3,1]"
13n_886,13,25,0,17.4676211722,"[-7,5,-1,3,-6,8,-8,7,-4,2,2,-4,4,-3,1]"
