knot,input_interval,determinant,spin_c_classes,compatible_generators,affine_maps_total,basic_pass_count,niwu_pass_count,obstructed_basic,obstructed_full,file,sha256,seconds
11n_3,"[1,2]",43,43,2,172,0,0,True,True,11n_3.json,2493e6a13ff41724279a99ee08c176ff09d6248efb44698e3481f12ccf16e354,
11n_17,"[1,2]",47,47,2,188,0,0,True,True,11n_17.json,20524a582df43ecb648e1dcb9c3d039a2eb95cff8bdce1c89b717a923bb42627,
11n_51,"[1,2]",29,29,4,232,0,0,True,True,11n_51.json,dfb2a8e721d156c24001dc834f1e6c5737171b0d2d0b4cac651c5ee9158b37c4,
11n_54,"[1,2]",43,43,2,172,0,0,True,True,11n_54.json,4f33de2f3a60acb8ed55f47f1c9fef9fb40c47b0b39b9a2e4452600bea300797,
11n_60,"[1,2]",31,31,2,124,0,0,True,True,11n_60.json,f8b680696cbdd081e0a498e5ad67fb5c2a20e265e7143139482caf3a63c49e3c,
11n_122,"[1,2]",27,27,2,108,0,0,True,True,11n_122.json,29990d5b8c896ee3f409c494c6c007cd2d5c330878416e95653b18ea262eb1b7,
11n_138,"[1,2]",15,15,4,120,0,0,True,True,11n_138.json,3111587efc9597305b325ee8ca0d68d11f84149b15702863adcb3622c3272055,
12n_11,"[1,2]",61,61,4,488,0,0,True,True,12n_11.json,558c39239e471fc4ef81733968556f42776c1b552b4bb5d73dd59df839f28664,
12n_12,"[1,2]",79,79,2,316,0,0,True,True,12n_12.json,12f34d71796f99bbf13e252c65bffc84ebc7c17a9734257971b5ed76527535bd,
12n_41,"[1,2]",19,19,2,76,0,0,True,True,12n_41.json,f05658f0aa7179dfed6b439ebba32d6ab5473d3939ce99e324dd652ef9c4be41,
12n_42,"[1,2]",59,59,2,236,0,0,True,True,12n_42.json,1b8a102f15b7f8bcccf959005d0f33da7fe807cb45219a978374421b5bf239bc,
12n_43,"[1,2]",81,81,2,324,0,0,True,True,12n_43.json,5c37e40b94aaceab723f9167ec96d499be61e4dcc2658e46fd7cae870ed24345,
12n_44,"[1,2]",51,51,4,408,0,0,True,True,12n_44.json,609ddcc3a06b555ff62c612db76f44f388200d41f014ae495c421f711382c6a3,
12n_45,"[1,2]",37,37,4,296,0,0,True,True,12n_45.json,1a34e15f7b34c4fea9920a87c66b94b339b84b33205af2dfb17427bc6a355509,
12n_47,"[1,2]",59,59,2,236,0,0,True,True,12n_47.json,934bbdb84759c73ea69641f1ce76ac2be1ca629bb72f962c6de7c1a48bdc80ab,
12n_48,"[1,2]",49,49,2,196,0,0,True,True,12n_48.json,09a23b856d27e8571ded4355b25de3564949450fa8510fba2a4ec5df2e9c0465,
12n_154,"[1,2]",47,47,2,188,0,0,True,True,12n_154.json,bf563fed4ca268d1c3cae84793d3fff5955d604b2e1133d482154ce74bc66db3,
12n_159,"[1,2]",55,55,4,440,0,0,True,True,12n_159.json,998dfbead6cca92050346d46c8708757443a875d9ef450d72c38682a58bfc74f,
12n_160,"[1,2]",53,53,4,424,0,0,True,True,12n_160.json,aeb3f354ff64ec9ccf475eebf33eeb044c710c0bd2c250f21c9b25afc360af06,
12n_162,"[1,2]",61,61,4,488,0,0,True,True,12n_162.json,91a71d2fef0afca44a6dc89deef45414cc4fc802ec46b18507000393f8574682,
12n_167,"[1,3]",67,67,2,268,0,0,True,True,12n_167.json,cb6872badfdc13b224bb1d2521fa6f572c6b7e3aa3a72a9dd66c4b2464d1987d,
12n_170,"[1,2]",81,81,2,324,0,0,True,True,12n_170.json,7e25be88365590f4f1ad60b1455c8483f2e1b1c99f19d5ea6b7f8723d72f4828,
12n_238,"[1,2]",31,31,2,124,0,0,True,True,12n_238.json,1e5f955573176c44acec60ab40605ec6e5302a3f8dd80317bd961a20157b7ca9,
12n_241,"[1,2]",59,59,2,236,0,0,True,True,12n_241.json,06409aa998788e6bc12b259fadc61a4c69d27727916367bad01848095c8ea48f,
12n_286,"[1,2]",45,45,4,360,0,0,True,True,12n_286.json,a7802a837d7e1c8a2590e5220cd3fee8778f914818d00b9f07d6f4586dabb5d8,
12n_288,"[1,2]",49,49,2,196,0,0,True,True,12n_288.json,52778f58ab7732e95ab0fbd21291bffc8b2699d9e5620466ad5910672b301e09,
12n_295,"[1,2]",107,107,2,428,0,0,True,True,12n_295.json,9b6fe5c0b1bbf97465f71f4e77601f3b1ad2afa0d9cb2b9c543e8ac06e8bcc75,
12n_301,"[1,2]",67,67,2,268,0,0,True,True,12n_301.json,a3f94cd19f35b7bb1f9a7000cc919fb6a3598f27b01847773e245a4dd2099d9d,
12n_302,"[1,2]",111,111,4,888,0,0,True,True,12n_302.json,3e59a344a7e82d7023a61663303600af50f086a8ba68ed424219c793d4837c08,
12n_304,"[1,3]",71,71,2,284,0,0,True,True,12n_304.json,a8ac1e58a05910f81bf6116165502fb39a6f6a0708041029bf56b9cdd39ece1b,
12n_307,"[1,3]",77,77,4,616,0,0,True,True,12n_307.json,f639bb190222cdfb7ed46c0bec89862b16ea2fbc18e7bbfd923a2920d178e543,
12n_309,"[1,2]",1,1,1,2,2,2,False,False,12n_309.json,fcf2c5275693033d8c0195dfb7861f98c48ba17cadda080ac171018caad965db,
12n_337,"[1,2]",103,103,2,412,0,0,True,True,12n_337.json,f134e4e3af9460f07badec6ac2798dad05da095746036ae72af10e9459feafb5,
12n_444,"[1,2]",27,27,2,108,0,0,True,True,12n_444.json,4cae5232d7ada550f48b4d6f49671edff0f71d0b124872769fbaf9843b6f1b37,
12n_457,"[1,2]",11,11,2,44,0,0,True,True,12n_457.json,808ca7a4869d20b8c5209acd6b46d82d00d49c4e02b215639a379f3037efd349,
12n_470,"[1,2]",41,41,4,328,0,0,True,True,12n_470.json,6bda795e4a939166f632358e9f7cc4bfb8c79b65bab73005667196317cf08bd3,
12n_471,"[1,2]",71,71,2,284,0,0,True,True,12n_471.json,9fca8c48cff2683f41ed4fc62f0ce791b2870688f322175e567ce1b5f6b73f8b,
12n_475,"[1,2]",7,7,2,28,0,0,True,True,12n_475.json,0d2d532d413f3968891f43fa0713f3236661198b60cb1166d3c29c69e2a5c1ce,
12n_478,"[1,2]",29,29,4,232,0,0,True,True,12n_478.json,4ad78505a3f911fa100bedf770fa7552fdaffdb9b9b946bce7b1e70bb6e06db6,
12n_479,"[1,2]",83,83,2,332,0,0,True,True,12n_479.json,8dc3dd6895053c4e5f2a941f149604c7553e9d872161601ec47177650a9252eb,
12n_500,"[1,2]",51,51,4,408,0,0,True,True,12n_500.json,4a505c30d156006393d9d906ea741f245bf1b35d648bbe4875c607430b9e2dd1,
12n_501,"[1,2]",49,49,2,196,0,0,True,True,12n_501.json,213a8e62d7a5f5c022898d49aa92f176d55134975db7ad212f95f8ab6a3e656c,
12n_522,"[1,3]",23,23,2,92,0,0,True,True,12n_522.json,d781293a5cec0c8a16a8b282d934b0a26843bfbdbc390d67af307ffd9acb1762,
12n_523,"[1,2]",13,13,4,104,0,0,True,True,12n_523.json,0154fa4bd45a283b54035390f1ec996622abfea5ff946d34bc1137e5fb244eec,
12n_550,"[1,2]",33,33,4,264,0,0,True,True,12n_550.json,afef51bf7ceefe52a908ede9df5ebc27d31a1c6091535a2548c92c210e93f1c7,
12n_564,"[1,2]",39,39,4,312,0,0,True,True,12n_564.json,00ab9f6710f36cd552abb5d3cbca8994cdcb03c90cdea2d207cc7bac0d9dccf3,
12n_577,"[1,2]",27,27,2,108,0,0,True,True,12n_577.json,78429611c9026271a50bbd0f3b475c2e90fe9d7d0c56210447851030552fb8fd,
12n_578,"[1,2]",93,93,4,744,0,0,True,True,12n_578.json,b1e14e1a237b43c019300b3d45e2f1b5027129cf68016e37634ecffc6ca9a78c,
12n_721,"[1,3]",25,25,4,200,0,0,True,True,12n_721.json,bcb6cc249167f8c3c009d836528203ccb3af3ca91246d62555156e3b8e70c0c7,
12n_723,"[1,2]",19,19,2,76,0,0,True,True,12n_723.json,b58d7b350618c9f518deb892ebc5c36b976473945ef8c37a6efcfcff889df37d,
