knot,crossing_number,input_interval,signature_input,mirrored_to_positive_signature,determinant,goeritz_rank,m_G_zero,m_Q_zero,inequality_ok,congruence_ok,obstructs_u_3,new_interval,zero_energy,zero_characteristic_parity,goeritz_matrix,pd_notation
11a_291,11,"[3,4]",-6,True,99,5,3/2,-3/2,False,False,True,4,11,"[1,1,0,0,1]","[[2,0,-1,0,0],[0,3,-1,-1,0],[-1,-1,6,0,-4],[0,-1,0,2,-1],[0,0,-4,-1,6]]","[[6,2,7,1],[16,6,17,5],[22,8,1,7],[8,18,9,17],[10,4,11,3],[4,10,5,9],[14,22,15,21],[18,12,19,11],[20,14,21,13],[12,20,13,19],[2,16,3,15]]"
11a_298,11,"[3,4]",-6,True,131,5,3/2,-3/2,False,False,True,4,11,"[1,0,1,1,0]","[[6,-1,0,0,-3],[-1,3,-1,-1,0],[0,-1,2,0,0],[0,-1,0,3,-1],[-3,0,0,-1,4]]","[[6,2,7,1],[10,4,11,3],[16,10,17,9],[8,18,9,17],[18,6,19,5],[20,12,21,11],[22,14,1,13],[12,22,13,21],[14,20,15,19],[2,8,3,7],[4,16,5,15]]"
11a_319,11,"[3,4]",-6,True,119,5,3/2,-3/2,False,False,True,4,11,"[1,1,0,0,1]","[[2,0,-1,0,0],[0,5,-3,-1,0],[-1,-3,6,0,-2],[0,-1,0,2,-1],[0,0,-2,-1,4]]","[[6,2,7,1],[16,6,17,5],[22,8,1,7],[10,20,11,19],[12,4,13,3],[4,12,5,11],[14,22,15,21],[20,14,21,13],[18,10,19,9],[8,18,9,17],[2,16,3,15]]"
11a_336,11,"[3,4]",-6,True,59,5,3/2,-3/2,False,False,True,4,11,"[1,1,0,1,0]","[[6,0,-5,0,0],[0,3,-1,0,-1],[-5,-1,6,0,0],[0,0,0,2,-1],[0,-1,0,-1,2]]","[[6,2,7,1],[16,6,17,5],[18,8,19,7],[20,10,21,9],[22,12,1,11],[8,20,9,19],[10,22,11,21],[12,18,13,17],[2,16,3,15],[14,4,15,3],[4,14,5,13]]"
11a_340,11,"[3,4]",-6,True,87,5,3/2,-3/2,False,False,True,4,11,"[1,1,0,1,0]","[[4,0,-3,0,0],[0,5,-3,0,-1],[-3,-3,6,0,0],[0,0,0,2,-1],[0,-1,0,-1,2]]","[[6,2,7,1],[16,6,17,5],[20,8,21,7],[22,10,1,9],[8,22,9,21],[12,20,13,19],[18,12,19,11],[10,18,11,17],[2,16,3,15],[14,4,15,3],[4,14,5,13]]"
11a_353,11,"[3,4]",-6,True,123,5,3/2,-3/2,False,False,True,4,11,"[1,1,0,0,1]","[[2,0,-1,0,0],[0,5,-1,-1,0],[-1,-1,4,0,-2],[0,-1,0,2,-1],[0,0,-2,-1,4]]","[[8,2,9,1],[16,6,17,5],[22,10,1,9],[10,20,11,19],[12,4,13,3],[4,12,5,11],[14,22,15,21],[20,14,21,13],[18,8,19,7],[2,16,3,15],[6,18,7,17]]"
11a_356,11,"[3,4]",-6,True,79,5,3/2,-3/2,False,False,True,4,11,"[1,1,0,1,0]","[[4,0,-3,0,0],[0,5,-1,0,-1],[-3,-1,4,0,0],[0,0,0,2,-1],[0,-1,0,-1,2]]","[[8,2,9,1],[14,4,15,3],[20,10,21,9],[22,12,1,11],[10,22,11,21],[12,20,13,19],[18,8,19,7],[2,14,3,13],[4,18,5,17],[16,6,17,5],[6,16,7,15]]"
11a_357,11,"[3,4]",-6,True,91,5,3/2,-3/2,False,False,True,4,11,"[1,1,0,1,0]","[[4,0,-3,0,0],[0,3,-1,0,-1],[-3,-1,4,0,0],[0,0,0,4,-3],[0,-1,0,-3,4]]","[[8,2,9,1],[18,8,19,7],[20,10,21,9],[22,12,1,11],[10,22,11,21],[12,20,13,19],[2,18,3,17],[16,6,17,5],[14,4,15,3],[4,16,5,15],[6,14,7,13]]"
12a_94,12,"[3,4]",-6,True,163,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,1,0,1]","[[3,-2,0,0,0,0],[-2,5,-1,-1,0,-1],[0,-1,2,0,0,0],[0,-1,0,5,-1,0],[0,0,0,-1,2,-1],[0,-1,0,0,-1,2]]","[[1,5,2,4],[3,9,4,8],[5,15,6,14],[7,3,8,2],[9,19,10,18],[11,21,12,20],[13,7,14,6],[15,23,16,22],[17,1,18,24],[19,13,20,12],[21,11,22,10],[23,17,24,16]]"
12a_102,12,"[3,4]",-6,True,239,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,1,0,1]","[[3,-2,0,0,0,0],[-2,5,-1,-1,0,-1],[0,-1,2,0,0,0],[0,-1,0,3,-1,0],[0,0,0,-1,2,-1],[0,-1,0,0,-1,4]]","[[1,5,2,4],[3,9,4,8],[5,15,6,14],[7,3,8,2],[9,19,10,18],[11,23,12,22],[13,7,14,6],[15,21,16,20],[17,1,18,24],[19,13,20,12],[21,17,22,16],[23,11,24,10]]"
12a_144,12,"[3,4]",-6,True,151,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,1,0,1]","[[3,-2,0,0,0,0],[-2,7,-1,-3,0,-1],[0,-1,2,0,0,0],[0,-3,0,5,-1,0],[0,0,0,-1,2,-1],[0,-1,0,0,-1,2]]","[[1,5,2,4],[3,9,4,8],[5,17,6,16],[7,3,8,2],[9,19,10,18],[11,21,12,20],[13,23,14,22],[15,7,16,6],[17,1,18,24],[19,11,20,10],[21,15,22,14],[23,13,24,12]]"
12a_145,12,"[3,4]",-6,True,179,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,1,0,1]","[[3,-2,0,0,0,0],[-2,5,-1,-1,0,-1],[0,-1,2,0,0,0],[0,-1,0,3,-1,0],[0,0,0,-1,4,-3],[0,-1,0,0,-3,4]]","[[1,5,2,4],[3,9,4,8],[5,17,6,16],[7,3,8,2],[9,19,10,18],[11,21,12,20],[13,23,14,22],[15,7,16,6],[17,1,18,24],[19,15,20,14],[21,13,22,12],[23,11,24,10]]"
12a_146,12,"[3,4]",6,False,55,3,3/2,-3/2,False,False,True,4,9,"[0,0,1]","[[9,-1,-7],[-1,2,0],[-7,0,9]]","[[1,5,2,4],[3,9,4,8],[5,16,6,17],[7,3,8,2],[9,18,10,19],[11,20,12,21],[13,22,14,23],[15,24,16,1],[17,6,18,7],[19,10,20,11],[21,12,22,13],[23,14,24,15]]"
12a_319,12,"[3,4]",-6,True,183,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,0,1,1]","[[3,-2,0,0,0,0],[-2,4,0,0,-1,-1],[0,0,2,-1,0,0],[0,0,-1,3,-1,-1],[0,-1,0,-1,2,0],[0,-1,0,-1,0,5]]","[[1,5,2,4],[3,11,4,10],[5,15,6,14],[7,21,8,20],[9,3,10,2],[11,19,12,18],[13,7,14,6],[15,23,16,22],[17,1,18,24],[19,9,20,8],[21,13,22,12],[23,17,24,16]]"
12a_368,12,"[3,4]",-6,True,167,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,1,0,1]","[[3,-2,0,0,0,0],[-2,5,-1,-1,0,-1],[0,-1,4,0,0,0],[0,-1,0,3,-1,0],[0,0,0,-1,2,-1],[0,-1,0,0,-1,2]]","[[1,5,2,4],[3,11,4,10],[5,17,6,16],[7,19,8,18],[9,3,10,2],[11,21,12,20],[13,23,14,22],[15,9,16,8],[17,7,18,6],[19,1,20,24],[21,15,22,14],[23,13,24,12]]"
12a_391,12,"[3,4]",-6,True,187,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,0,1,1]","[[3,-2,0,0,0,0],[-2,4,0,0,-1,-1],[0,0,2,-1,0,0],[0,0,-1,5,-1,-3],[0,-1,0,-1,2,0],[0,-1,0,-3,0,5]]","[[1,5,2,4],[3,11,4,10],[5,17,6,16],[7,21,8,20],[9,3,10,2],[11,19,12,18],[13,23,14,22],[15,7,16,6],[17,1,18,24],[19,9,20,8],[21,13,22,12],[23,15,24,14]]"
12a_431,12,"[3,4]",-6,True,275,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,0,1,1]","[[3,-2,0,0,0,0],[-2,5,-1,0,-1,-1],[0,-1,4,-2,0,0],[0,0,-2,4,-1,-1],[0,-1,0,-1,3,0],[0,-1,0,-1,0,2]]","[[1,5,2,4],[3,11,4,10],[5,19,6,18],[7,15,8,14],[9,3,10,2],[11,21,12,20],[13,7,14,6],[15,23,16,22],[17,9,18,8],[19,1,20,24],[21,17,22,16],[23,13,24,12]]"
12a_586,12,"[3,4]",-6,True,203,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,0,1,1]","[[3,-2,0,0,0,0],[-2,4,0,0,-1,-1],[0,0,4,-1,0,0],[0,0,-1,3,-1,-1],[0,-1,0,-1,2,0],[0,-1,0,-1,0,3]]","[[1,5,2,4],[3,13,4,12],[5,17,6,16],[7,19,8,18],[9,23,10,22],[11,3,12,2],[13,21,14,20],[15,9,16,8],[17,7,18,6],[19,1,20,24],[21,11,22,10],[23,15,24,14]]"
12a_659,12,"[3,4]",-6,True,263,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,0,1,1]","[[3,-2,0,0,0,0],[-2,6,-2,0,-1,-1],[0,-2,4,-1,0,0],[0,0,-1,3,-1,-1],[0,-1,0,-1,2,0],[0,-1,0,-1,0,3]]","[[1,5,2,4],[3,13,4,12],[5,19,6,18],[7,23,8,22],[9,17,10,16],[11,3,12,2],[13,21,14,20],[15,7,16,6],[17,11,18,10],[19,1,20,24],[21,9,22,8],[23,15,24,14]]"
12a_762,12,"[3,4]",-6,True,51,4,3/2,-3/2,False,False,True,4,10,"[1,1,1,0]","[[3,-2,0,0],[-2,3,0,-1],[0,0,8,-1],[0,-1,-1,2]]","[[1,5,2,4],[3,14,4,15],[5,19,6,18],[7,21,8,20],[9,23,10,22],[11,1,12,24],[13,17,14,16],[15,2,16,3],[17,13,18,12],[19,7,20,6],[21,9,22,8],[23,11,24,10]]"
12a_794,12,"[3,4]",-6,True,91,4,3/2,-3/2,False,False,True,4,10,"[1,1,1,0]","[[3,-2,0,0],[-2,5,0,-3],[0,0,6,-1],[0,-3,-1,4]]","[[1,5,2,4],[3,14,4,15],[5,21,6,20],[7,23,8,22],[9,1,10,24],[11,17,12,16],[13,19,14,18],[15,2,16,3],[17,13,18,12],[19,11,20,10],[21,7,22,6],[23,9,24,8]]"
12a_801,12,"[3,4]",-6,True,135,4,3/2,-3/2,False,False,True,4,10,"[1,1,1,0]","[[3,-2,0,0],[-2,5,0,-3],[0,0,6,-3],[0,-3,-3,6]]","[[1,5,2,4],[3,14,4,15],[5,23,6,22],[7,1,8,24],[9,21,10,20],[11,17,12,16],[13,19,14,18],[15,2,16,3],[17,13,18,12],[19,9,20,8],[21,11,22,10],[23,7,24,6]]"
12a_814,12,"[3,4]",-6,True,159,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,1,0,1]","[[5,-2,0,0,0,0],[-2,5,-1,-1,0,-1],[0,-1,2,0,0,0],[0,-1,0,3,-1,0],[0,0,0,-1,2,-1],[0,-1,0,0,-1,2]]","[[1,7,2,6],[3,9,4,8],[5,13,6,12],[7,3,8,2],[9,19,10,18],[11,5,12,4],[13,21,14,20],[15,23,16,22],[17,11,18,10],[19,1,20,24],[21,17,22,16],[23,15,24,14]]"
12a_828,12,"[3,4]",-6,True,195,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,0,1,1]","[[5,-2,0,0,0,0],[-2,4,0,0,-1,-1],[0,0,2,-1,0,0],[0,0,-1,3,-1,-1],[0,-1,0,-1,2,0],[0,-1,0,-1,0,3]]","[[1,7,2,6],[3,9,4,8],[5,15,6,14],[7,3,8,2],[9,19,10,18],[11,23,12,22],[13,5,14,4],[15,21,16,20],[17,11,18,10],[19,1,20,24],[21,13,22,12],[23,17,24,16]]"
12a_877,12,"[3,4]",-6,True,131,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,1,0,1]","[[5,-4,0,0,0,0],[-4,7,-1,-1,0,-1],[0,-1,2,0,0,0],[0,-1,0,3,-1,0],[0,0,0,-1,2,-1],[0,-1,0,0,-1,2]]","[[1,7,2,6],[3,11,4,10],[5,13,6,12],[7,19,8,18],[9,3,10,2],[11,5,12,4],[13,21,14,20],[15,23,16,22],[17,9,18,8],[19,1,20,24],[21,17,22,16],[23,15,24,14]]"
12a_900,12,"[3,4]",-6,True,247,6,3/2,-3/2,False,False,True,4,12,"[1,0,0,1,1,1]","[[5,-2,-2,0,0,0],[-2,5,0,-1,-1,-1],[-2,0,4,0,-1,-1],[0,-1,0,2,0,0],[0,-1,-1,0,2,0],[0,-1,-1,0,0,3]]","[[1,7,2,6],[3,11,4,10],[5,15,6,14],[7,19,8,18],[9,3,10,2],[11,23,12,22],[13,5,14,4],[15,21,16,20],[17,9,18,8],[19,1,20,24],[21,13,22,12],[23,17,24,16]]"
12a_973,12,"[3,4]",-6,True,243,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,0,1,1]","[[3,-1,0,-1,0,0],[-1,3,-1,0,-1,0],[0,-1,2,-1,0,0],[-1,0,-1,4,-1,-1],[0,-1,0,-1,3,0],[0,0,0,-1,0,4]]","[[1,7,2,6],[3,11,4,10],[5,21,6,20],[7,13,8,12],[9,5,10,4],[11,19,12,18],[13,23,14,22],[15,1,16,24],[17,9,18,8],[19,3,20,2],[21,17,22,16],[23,15,24,14]]"
12a_995,12,"[3,4]",-6,True,227,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,0,1,1]","[[3,-1,0,-1,0,0],[-1,5,-1,0,-3,0],[0,-1,2,-1,0,0],[-1,0,-1,4,-1,-1],[0,-3,0,-1,5,0],[0,0,0,-1,0,2]]","[[1,7,2,6],[3,11,4,10],[5,23,6,22],[7,15,8,14],[9,5,10,4],[11,19,12,18],[13,21,14,20],[15,1,16,24],[17,9,18,8],[19,13,20,12],[21,3,22,2],[23,17,24,16]]"
12a_1004,12,"[3,4]",-6,True,259,6,3/2,-3/2,False,False,True,4,12,"[1,0,0,1,1,1]","[[5,-2,-2,0,0,0],[-2,4,0,-1,-1,0],[-2,0,4,0,-1,-1],[0,-1,0,2,0,0],[0,-1,-1,0,3,0],[0,0,-1,0,0,2]]","[[1,7,2,6],[3,11,4,10],[5,23,6,22],[7,19,8,18],[9,3,10,2],[11,17,12,16],[13,1,14,24],[15,21,16,20],[17,9,18,8],[19,13,20,12],[21,5,22,4],[23,15,24,14]]"
12a_1035,12,"[3,4]",-6,True,155,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,0,1,1]","[[5,-4,0,0,0,0],[-4,6,0,0,-1,-1],[0,0,2,-1,0,0],[0,0,-1,3,-1,-1],[0,-1,0,-1,2,0],[0,-1,0,-1,0,3]]","[[1,7,2,6],[3,13,4,12],[5,15,6,14],[7,19,8,18],[9,23,10,22],[11,3,12,2],[13,5,14,4],[15,21,16,20],[17,9,18,8],[19,1,20,24],[21,11,22,10],[23,17,24,16]]"
12a_1112,12,"[3,4]",-6,True,215,6,3/2,-3/2,False,False,True,4,12,"[1,0,1,0,1,1]","[[3,-1,0,-1,0,0],[-1,3,-1,0,-1,0],[0,-1,2,-1,0,0],[-1,0,-1,6,-3,-1],[0,-1,0,-3,5,0],[0,0,0,-1,0,2]]","[[1,7,2,6],[3,13,4,12],[5,23,6,22],[7,15,8,14],[9,19,10,18],[11,5,12,4],[13,21,14,20],[15,1,16,24],[17,9,18,8],[19,11,20,10],[21,3,22,2],[23,17,24,16]]"
12a_1114,12,"[3,4]",6,False,95,3,3/2,-3/2,False,False,True,4,9,"[0,1,0]","[[4,-2,-1],[-2,9,-2],[-1,-2,4]]","[[1,7,2,6],[3,12,4,13],[5,23,6,22],[7,16,8,17],[9,18,10,19],[11,20,12,21],[13,4,14,5],[15,24,16,1],[17,8,18,9],[19,10,20,11],[21,3,22,2],[23,14,24,15]]"
13a_169,13,"[3,4]",-6,True,179,5,3/2,-3/2,False,False,True,4,11,"[1,1,0,1,0]","[[7,0,-1,0,-5],[0,5,-1,-2,0],[-1,-1,2,0,0],[0,-2,0,3,-1],[-5,0,0,-1,6]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[11,5,12,4],[5,11,6,10],[19,8,20,9],[9,18,10,19],[21,13,22,12],[13,23,14,22],[23,15,24,14],[15,25,16,24],[25,17,26,16],[17,21,18,20]]"
13a_171,13,"[3,4]",-6,True,255,5,3/2,-3/2,False,False,True,4,11,"[1,1,0,1,0]","[[5,0,-1,0,-3],[0,5,-1,-2,0],[-1,-1,2,0,0],[0,-2,0,5,-3],[-3,0,0,-3,6]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[11,5,12,4],[5,11,6,10],[19,8,20,9],[9,18,10,19],[23,13,24,12],[13,25,14,24],[25,15,26,14],[15,21,16,20],[21,17,22,16],[17,23,18,22]]"
13a_248,13,"[3,4]",-6,True,351,7,3/2,-3/2,False,False,True,4,13,"[1,1,0,0,1,0,1]","[[3,0,-1,-1,0,0,0],[0,5,-1,-1,0,-1,0],[-1,-1,2,0,0,0,0],[-1,-1,0,4,-1,0,-1],[0,0,0,-1,2,-1,0],[0,-1,0,0,-1,4,-2],[0,0,0,-1,0,-2,3]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[13,5,14,4],[5,13,6,12],[15,9,16,8],[9,21,10,20],[19,11,20,10],[11,17,12,16],[25,15,26,14],[17,23,18,22],[23,19,24,18],[21,25,22,24]]"
13a_357,13,"[3,4]",-6,True,447,7,3/2,-3/2,False,False,True,4,13,"[1,1,0,0,1,0,0]","[[4,0,-1,-1,0,-1,0],[0,6,-1,-1,0,-1,-1],[-1,-1,2,0,0,0,0],[-1,-1,0,3,-1,0,0],[0,0,0,-1,3,-1,-1],[-1,-1,0,0,-1,3,0],[0,-1,0,0,-1,0,2]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[13,5,14,4],[5,13,6,12],[21,9,22,8],[9,25,10,24],[15,11,16,10],[11,19,12,18],[19,15,20,14],[23,17,24,16],[17,23,18,22],[25,21,26,20]]"
13a_425,13,"[3,4]",-6,True,163,5,3/2,-3/2,False,False,True,4,11,"[1,0,0,1,0]","[[7,0,-1,0,-5],[0,3,0,-1,0],[-1,0,2,-1,0],[0,-1,-1,4,-2],[-5,0,0,-2,7]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[13,5,14,4],[5,13,6,12],[9,7,10,6],[19,11,20,10],[11,21,12,20],[21,15,22,14],[15,23,16,22],[23,17,24,16],[17,25,18,24],[25,19,26,18]]"
13a_507,13,"[3,4]",-6,True,387,7,3/2,-3/2,False,False,True,4,13,"[1,1,0,0,1,0,0]","[[4,0,-1,0,0,-1,-1],[0,5,-1,-1,0,0,-1],[-1,-1,2,0,0,0,0],[0,-1,0,2,-1,0,0],[0,0,0,-1,4,-2,-1],[-1,0,0,0,-2,3,0],[-1,-1,0,0,-1,0,3]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[15,5,16,4],[5,15,6,14],[19,9,20,8],[9,19,10,18],[23,11,24,10],[11,25,12,24],[17,13,18,12],[13,21,14,20],[21,17,22,16],[25,23,26,22]]"
13a_517,13,"[3,4]",-6,True,387,7,3/2,-3/2,False,False,True,4,13,"[1,1,0,0,1,0,0]","[[4,0,-1,-1,0,-1,0],[0,5,-1,-1,0,0,-1],[-1,-1,2,0,0,0,0],[-1,-1,0,3,-1,0,0],[0,0,0,-1,4,-2,-1],[-1,0,0,0,-2,3,0],[0,-1,0,0,-1,0,2]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[15,5,16,4],[5,15,6,14],[21,9,22,8],[9,25,10,24],[17,11,18,10],[11,19,12,18],[23,13,24,12],[13,23,14,22],[19,17,20,16],[25,21,26,20]]"
13a_526,13,"[3,4]",-6,True,303,7,3/2,-3/2,False,False,True,4,13,"[1,1,0,0,1,0,0]","[[4,0,-1,-1,0,0,-1],[0,7,-1,-1,0,-1,-2],[-1,-1,2,0,0,0,0],[-1,-1,0,3,-1,0,0],[0,0,0,-1,2,-1,0],[0,-1,0,0,-1,2,0],[-1,-2,0,0,0,0,3]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[15,5,16,4],[5,15,6,14],[21,9,22,8],[9,25,10,24],[23,11,24,10],[11,23,12,22],[17,13,18,12],[13,19,14,18],[19,17,20,16],[25,21,26,20]]"
13a_543,13,"[3,4]",-6,True,303,7,3/2,-3/2,False,False,True,4,13,"[1,1,0,0,0,1,0]","[[4,0,-1,-1,-1,0,0],[0,7,-1,-2,-1,0,-1],[-1,-1,2,0,0,0,0],[-1,-2,0,3,0,0,0],[-1,-1,0,0,3,-1,0],[0,0,0,0,-1,2,-1],[0,-1,0,0,0,-1,2]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[15,5,16,4],[5,15,6,14],[23,9,24,8],[9,25,10,24],[17,11,18,10],[11,21,12,20],[19,13,20,12],[13,19,14,18],[21,17,22,16],[25,23,26,22]]"
13a_575,13,"[3,4]",-6,True,183,5,3/2,-3/2,False,False,True,4,11,"[1,0,0,1,0]","[[5,0,-1,0,-3],[0,3,0,-1,0],[-1,0,2,-1,0],[0,-1,-1,6,-4],[-3,0,0,-4,7]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[15,5,16,4],[5,15,6,14],[9,7,10,6],[19,11,20,10],[11,21,12,20],[21,13,22,12],[13,23,14,22],[23,17,24,16],[17,25,18,24],[25,19,26,18]]"
13a_621,13,"[3,4]",-6,True,255,5,3/2,-3/2,False,False,True,4,11,"[1,1,0,0,0]","[[5,0,-1,0,-3],[0,6,-1,-3,0],[-1,-1,2,0,0],[0,-3,0,5,-2],[-3,0,0,-2,5]]","[[3,1,4,26],[1,7,2,6],[7,3,8,2],[17,5,18,4],[5,17,6,16],[13,9,14,8],[9,15,10,14],[15,11,16,10],[11,22,12,23],[21,12,22,13],[23,19,24,18],[19,25,20,24],[25,21,26,20]]"
13a_643,13,"[3,4]",-6,True,123,5,3/2,-3/2,False,False,True,4,11,"[1,0,0,1,0]","[[3,0,-1,0,-1],[0,3,0,-1,0],[-1,0,2,-1,0],[0,-1,-1,8,-6],[-1,0,0,-6,7]]","[[3,1,4,26],[1,8,2,9],[7,2,8,3],[17,5,18,4],[5,17,6,16],[9,7,10,6],[19,11,20,10],[11,21,12,20],[21,13,22,12],[13,23,14,22],[23,15,24,14],[15,25,16,24],[25,19,26,18]]"
